link,bbfrodo,price
https://orangecounty.craigslist.org/apa/d/irvine-am-amazed-wow/7229473732.html,I AM AMAZED WOW,"$2,500"
https://orangecounty.craigslist.org/apa/d/huntington-beach-huge-discounts-here/7229473935.html,HUGE DISCOUNTS HERE,"$2,500"
https://orangecounty.craigslist.org/apa/d/amazing-proposal-two-bedroom-for-rent/7228239571.html,Amazing PROPOSAL! TWO Bedroom For rent.,$676
https://orangecounty.craigslist.org/apa/d/irvine-this-is-recently-renovated/7225037665.html,"This is a recently renovated Cambridge Model, single story home at the","$2,500"
https://orangecounty.craigslist.org/apa/d/san-juan-capistrano-ocean-view-villa/7228197120.html,"OCEAN VIEW VILLA WITH POOL, SPA, FIREPIT, MO TO MO TO ANNUAL","$11,000"
https://orangecounty.craigslist.org/apa/d/fountain-valley-available-today-only/7218097558.html,AVAILABLE TODAY ONLY! $1665 / MONTH!,"$1,665"
https://orangecounty.craigslist.org/apa/d/newport-beach-bedroom-gorgeous-home/7229449793.html,3 Bedroom Gorgeous home near the back bay,"$6,500"
https://orangecounty.craigslist.org/apa/d/newport-beach-beautiful-home/7229441055.html,Beautiful home overlooking the back bay,"$6,500"
https://orangecounty.craigslist.org/apa/d/newport-beach-gorgeous-newly-renovated/7229429284.html,Gorgeous Newly Renovated 2 Story  Home Overlooking The Back Ba,"$6,500"
https://orangecounty.craigslist.org/apa/d/laguna-beach-charming-village-bungalow/7229395713.html,Charming Village Bungalow by Bluebird Park,"$4,500"
https://orangecounty.craigslist.org/apa/d/dana-point-south-laguna-ocean-view/7229398311.html,South Laguna Ocean View Remodeled Home,"$6,000"
https://orangecounty.craigslist.org/apa/d/laguna-beach-beautiful-remodeled-home/7229392745.html,Beautiful Remodeled Home in Laguna Village,"$4,200"
https://orangecounty.craigslist.org/apa/d/newport-beach-gorgeous-two-story-with/7229391961.html,Gorgeous two story with back bay view,"$6,500"
https://orangecounty.craigslist.org/apa/d/rancho-santa-margarita-rsm-rancho-santa/7229382695.html,RSM Rancho Santa Margerita 4 Bedroom EXEC,"$4,200"
https://orangecounty.craigslist.org/apa/d/newport-beach-bedroom-gorgeous-home/7218442597.html,3 Bedroom Gorgeous Home,"$6,500"
https://orangecounty.craigslist.org/apa/d/newport-beach-newly-renovated-story-home/7214569463.html,Newly Renovated 2 Story Home!,"$6,500"
