link,title,price,city,square_footage,desc,bed_bath,attributes
https://orangecounty.craigslist.org/apa/d/costa-mesa-quiet-bd-ba-house-in-mesa/7257310006.html,"A quiet 3 Bd / 2 Ba House in Mesa Verde, remodeled, Solar Panels & AC","$3,800",Costa Mesa,,"I’m looking to find a well employed family. to rent out my recently remodeled 3 bedroom with 2 bath house in Costa Mesa.  All new tiled bathrooms, new toilets, vanities and flooring. Nice washer and dryer in garage. The house, large 4 bedroom, 3 baths is located in the Mesa Verde Section of Costa Mesa, CA.  Close to beaches, bike paths, shopping centers, etc.  A very secure and quiet section of town. , The Master Bedroom size 15x15, has 1 attached bath, with new toilet, vanity and new tiles around shower.  The other 2 bedrooms are approx. 13x12.  The 2nd bath has all new tub, tiles, and toilet.  3 car parking in driveway, and 1 car in garage.  , The kitchen has been remodeled with new granite countertops, stone flooring, new cabinets, and gas oven.  , The house comes with Solar Panels and an EV charging port in the garage. A deluxe Washer and Dryer are in the garage was well.  It has central AC unit in the home, and has a cool ocean breeze most days throughout the year.  There is a fenced in back yard for a dog to stay secure, and a dog door to get in and out, if needed. , Must be fully employed with a very stable job.  No history of drugs or drinking problems.  Must keep house clean,  and pay the rent on the first few days of each month.  A complete background check and credit report must be completed at time of application. , Rent is $3800.00 per month, plus $5000.00 for security deposit. Any interested parties please contact Steve at  show contact info, .  Thanks for the interest. ",3BR / 2Ba,"EV charging, dogs are OK - wooof, house, laundry on site, attached garage"
https://orangecounty.craigslist.org/apa/d/newport-beach-bedroom-free-standing/7267291562.html,"1 Bedroom Free Standing Cottage, One House off Beach Newport Beach","$2,700",Newport Beach,,"Free Standing one bedroom cute beach house one house off beach. Solid Hardwood and travertine floors, cherry wood cabinets, new gas oven, washer/dryer hook up, parking, and fenced in patio. Great beach with no boardwalk. , $2700/month, minimum one year lease. Non-smokers/non-vape only.    ",1BR / 1Ba,"house, w/d in unit, no smoking, off-street parking, rent period: yearly"
https://orangecounty.craigslist.org/apa/d/ladera-ranch-mission-viejo-house/7267281762.html,MISSION VIEJO HOUSE,"$3,295",Mission Viejo,1200ft2,"MISSION VIEJO HOME - 3 BEDROOMS - 2 BATHROOMS - 2 CAR GARAGE WITH REMOTES - COMPLETELY RENOVATED WITH NEW KITCHEN, BATHROOMS, APPLIANCES, WINDOWS, A/C, LIGHTING, WOOD FLOORING, OUTSIDE PAINT, AND PATIO COVER.  MEMBERSHIP IN LAKE MISSION VIEJO  INCLUDED.  LARGE DOUBLE-GATED BACK YARD.  GARDENER INCLUDED.  FRIG,  WASHER/DRYER INCLUDED.   CEILING FANS IN KITCHEN AND ALL BEDROOMS.  ONE BLOCK FROM K-8 HIGHLY RATED CARL HANKEY ELEMENTARY SCHOOL AND CHILDREN'S PARK.  FIVE MINUTES FROM MV MALL, CAPO HS, AND 5 FWAY.  NICE QUIET NEIGHBORHOOD.  CALL MIKE AT  show contact info, .    ",3BR / 2Ba,"cats are OK - purrr, dogs are OK - wooof, house, w/d in unit, attached garage"
https://orangecounty.craigslist.org/apa/d/garden-grove-garden-grove-family-home/7255776123.html,Garden Grove Family Home,"$3,250",Garden Grove,15000ft2,"Remodeled beautiful Garden Grove famil home, located in nice neighborhood close to verything and great schools. Home is available for long term lease, please have good credit, email for info and showing.    ",3BR / 2Ba,"cats are OK - purrr, dogs are OK - wooof, flooring: wood, house, w/d in unit, attached garage, rent period: yearly"
https://orangecounty.craigslist.org/apa/d/garden-grove-beautiful-house-for-rent/7267217796.html,Beautiful house for rent,"$3,200",Westminster,2374ft2,Beautiful spacious 2 story home with office furnishings and washer and dryer upstairs located near the intersection of Beach Blvd. and Trask Ave.  Built in 2003. Move in 01/31/21.    ,4BR / 2.5Ba,"
thursday 2021-01-28
, 
friday 2021-01-29
, 
saturday 2021-01-30
"
https://orangecounty.craigslist.org/apa/d/irvine-adorable-three-roomtwo-restroom/7263839052.html,Adorable THREE ROOMTWO restroom bi-level TO HIRE,$782,Orange County,,Are you searching for the house that can shape you never want to leave this is the space for you.Property featuresBig TWO BEDROOMTWO BATH large size Front roomtile all overa satisfying kitchenetteFenced gardenwashers & dryersAir conditionerPETS ALLOWED,4BR / 2Ba,"cats are OK - purrr, dogs are OK - wooof, house, w/d hookups, street parking"
https://orangecounty.craigslist.org/apa/d/lake-forest-lake-forest-irvine-master/7267187561.html,LAKE FOREST/IRVINE-MASTER SUITE-FURNISHED-REMODELED,"$1,100",Lake Forest,1000ft2,"This property is completely newly remodeled master suite with your own private bathroom and washroom in a large house  on the border of Irvine and Lake Forest in OC's best-known, quiet, pleasant, safe, clean, scenic community. It's close by Irvine Business Park, Lake and Lake Forest Business Park, only a few minute drive to Irvine Spectrum, Costco, OC Airport, Irvine Railroad Station, Broadcom, 99 Ranch Market and malls; 15-minute drive to UCI, Irvine Valley College and Saddleback College; and fast access to FWY5, FWY405 and FWY240. Walking distance to the gym/fitness center and award winning schools., This master suite is newly remodeled with granite topped vanity, new mirror and lighting, shower-room, toilet, crown molding etc. Brand new kitchen, appliances /washer/dryer, plus simple furniture and utilities. Parking is very spacious and safe in this enclosed community street! NO smoking, drugs, alcohol, parties or pets please due to allergy. TEXT, Email or Call 949-five three two-8035 to leave name and phone number for viewing appointment if you are AN interested responsible, respectful, clean, easy-going and quiet professional / individual. Thx!    ",1BR / 1Ba,"furnished, house, laundry in bldg, off-street parking"
https://orangecounty.craigslist.org/apa/d/costa-mesa-charming-2b-2b-house-for/7267143011.html,Charming 2b/2b house for rent in East Side CM,"$3,400",Costa Mesa,2000ft2,"Charming and spacious 1930s bungalow for rent!, Please read entire listing before contact, thanks., $3,400 per month, $3,400 deposit, Long term tenants only / year lease at move-in, This unit is UNFURNISHED, About 2,000 square feet, 2 bedroom, 2 full bath, Air conditioning/furnace heat, Fully renovated interior, Front/back yard space, Washer/dryer hookups, Hardwood floors, Breakfast nook, Giant kitchen, Garage, Gated driveway and ample parking, Water/trash/gas paid, Near 55 freeway (between Newport Blvd and Eldon Ave), 10 minutes from beach, Very quiet residential street in up and coming neighborhood, Abundance of natural light!, Available middle of February for move-in pending application acceptance. Due to Covid-19 restrictions walkthroughs of the property will be limited to appointments only at landlords discretion. Be nice and please do not disturb current tenants on property. , Note:, This is a really cool old home and lots of love has been put into maintaining its charm. We hope you will have the same respect for its age and history as we do. , Its situated on a very large lot and there are two houses on site. Both homes are independent of each other so no shared walls, just shared driveways so you will have plenty of privacy. , Well behaved, non-destructive furry family members are welcome.    ",2BR / 2Ba,"cats are OK - purrr, dogs are OK - wooof, flooring: wood, house, w/d hookups, no smoking, detached garage, rent period: yearly"
https://orangecounty.craigslist.org/apa/d/anaheim-beautiful-upgraded-1br-1ba/7262954391.html,Beautiful Upgraded 1BR/1BA Guest House Include Utilities,"$1,500",Anaheim,,"Nice remodeled guest house/ in-law unit now available, Utilities are covered (electric, water, gas, trash), private entrance, Location is close to Disneyland, Honda Center, CSUF, Chapman University, 1 bed, 1 bath. Kitchen has refrigerator and microwave., Laundry available as optional, off-street parking, Looking for full time employed young professional, prefer lady. , For one occupancy only. Sorry no family. No office from home work., No pets, smoking, vape, overnight guest stay., Must have good credit and verifiable incomes required, If you are interested please response with basic info about you, occupation and contact number., Thank you    ",1BR / 1Ba,"house, laundry on site, no smoking, off-street parking"
https://orangecounty.craigslist.org/apa/d/fullerton-very-private-secure-detached/7267104868.html,VERY PRIVATE & SECURE DETACHED NEW GUEST HOUSE W PRIVATE BACK YARD,"$2,100",Fullerton,,"If you can see this ad, it is still available.  , The Main house is located on a very quiet cul-de-sac with a stand alone GUEST HOUSE at rear of the property.  This listing is for the guest house.  It is very private and secure.  It is NOT visible from the street.  It has its own private backyard with paver patio and gas for grill.  What sets this house apart from 99% of its competition is the details.  It was originally built for family so there are too many upgrades to list, ex:  upgraded sound proof insulation, double 5/8"" drywall, high end soaking tub...     Brand new construction.  Lennox top of the line Central A/C and ultra High Efficiency furnace.  Tankless water heater.  New Washer/Dryer included.   All upper end new appliances included:  stove, fridge (with in-door water and ice-maker), dishwasher, and microwave.  Water softener.  No expense spared.  Custom built maple cabs with soft-close hinges.  Deep SS sink.  Ultra quiet disposal.  Floating countertop can be a second option for an eating area.  Hunter Douglas shutters.  Open wrought iron stair case. Dimmer switches.  Brazilian granite.  Moen fixtures. Toto toilet.  Tons of extra storage.  Tiles throughout.  Nest wi-fi thermostat.  Nest CO/Smoke detectors.  5 HD Security Cameras.  Peek-a-boo mountain views.  All windows have nice views of trees.  Bedroom is 11' x 10'4"".  Walking distance to Craig Park.  Close to downtown Brea, 57 Freeway, and Brea Mall.  Centrally located to the beach, Los Angeles, and Disneyland.  Parking is on driveway.  No pets due to severe allergies.  No smokers.  Available for 1 person occupancy only.  We are looking for a quiet tenant who will take good care of the property as if it were their own., Trash and Gardener included.  Has its own separate: Electric, Gas, and Cable utilities.  Options for Spectrum Cable and AT&T are available.  Water is metered and will be billed monthly.  The garage portion is for rent for an extra $400/mo., There will be a shed built on the concrete pad in the future for the main house.  The block walls are getting stuccoed.  There will be a gate installed in the future.  $40/month fee for high speed internet option.  Credit Check, Background Check, Employment Verification, and 2 months security Deposit required.    ",1BR / 1Ba,"flooring: tile, house, w/d in unit, no smoking, off-street parking, rent period: yearly"
https://orangecounty.craigslist.org/apa/d/fullerton-bed-bath-near-downtown/7267106722.html,2 bed/1 bath near Downtown Fullerton (DTF),"$2,500",Fullerton,950ft2,"2BR / 1Ba 950ft2 available feb 1, open house dates , wednesday 2021-01-27  , saturday 2021-01-30, dogs are OK - wooof , house , w/d hookups , no smoking , street parking , Hi all, I am renting out my 2 bedroom/1 bathroom house on Harbor and Orangethorpe, for $2500.  The home is yours so long as you respect it. It has a backyard, and there's street parking. It comes with a microwave, dishwasher, stove, has washer/dryer hookups (just the hookups, you’ll have to get your own W/D) and home was recently remodeled. Includes a storage shed that’s in the backyard that you can use. Also all utilities, internet, and cable are NOT included; tenants will be splitting utilities with the back studio tenants (those tenants are totally separate from this house and don’t share any areas).  There’s actually a tall paneled fence that partitions the home/back studio. I’ll be doing an open house for it on 1/27, so let me know if you’re interested!, Home is about 5min walking distance from Costco, In N Out, Target and so much more, and 10 min walk to Downtown Fullerton. I do ask there please be absolutely NO smoking of any kind. You're welcome to come see the home, just let me know.  Any questions or things I might've forgotten to post, feel free to call or text me! , -House will be available after 2/1, -First months' rent and security deposit due at lease signing , -Security deposit is equal to 1 month rent, -Small dogs ok with addtl pet fee/mo, -12 month lease minimum  , -References and credit check required , -Verifiable income required    ",2BR / 1Ba,"
wednesday 2021-01-27
, 
saturday 2021-01-30
"
